2026-09-16 23:44:16.838 | WARNING  | tldw_Server_API.app.core.Metrics.telemetry:_create_metric_reader:719 - Prometheus metric exporter not available
2026-09-16 23:44:17.219 | WARNING  | trace= span= tp= req= job= ps=: | pydantic._internal._fields:collect_model_fields:198 - /Users/macbook-dev/Documents/GitHub/tldw_server2/.venv/lib/python3.11/site-packages/pydantic/_internal/_fields.py:198: UserWarning: Field name "schema" in "ResponseFormatJsonSchemaSpec" shadows an attribute in parent "BaseModel"
2026-09-16 23:44:18.827 | ERROR    | trace= span= tp= req= job= ps=: | tldw_Server_API.app.core.Evaluations.config_manager:load_config:175 - Configuration file not found: /Users/macbook-dev/Documents/GitHub/tldw_server2/.tmp/fresh-uat-recovery-20260916/profiles/tldw-onboarding-uat-recovery-targeted-pg-multi-20260916/Config_Files/evaluations_config.yaml
2026-09-16 23:44:20.467 | WARNING  | trace= span= tp= req= job= ps=: | pydantic._internal._fields:collect_model_fields:198 - /Users/macbook-dev/Documents/GitHub/tldw_server2/.venv/lib/python3.11/site-packages/pydantic/_internal/_fields.py:198: UserWarning: Field name "register" in "CharacterExemplarLabels" shadows an attribute in parent "BaseModel"
2026-09-16 23:44:20.823 | WARNING  | trace= span= tp= req= job= ps=: | fastapi.params:__init__:520 - /Users/macbook-dev/Documents/GitHub/tldw_server2/tldw_Server_API/app/api/v1/endpoints/notes_graph_suggestions.py:20: FastAPIDeprecationWarning: `example` has been deprecated, please use `examples` instead
2026-09-16 23:44:22.773 | WARNING  | trace= span= tp= req= job= ps=: | pydantic._internal._fields:collect_model_fields:198 - /Users/macbook-dev/Documents/GitHub/tldw_server2/.venv/lib/python3.11/site-packages/pydantic/_internal/_fields.py:198: UserWarning: Field name "schema" in "_NarrativeDialogueOutput" shadows an attribute in parent "_StrictModel"
2026-09-16 23:44:22.774 | WARNING  | trace= span= tp= req= job= ps=: | pydantic._internal._fields:collect_model_fields:198 - /Users/macbook-dev/Documents/GitHub/tldw_server2/.venv/lib/python3.11/site-packages/pydantic/_internal/_fields.py:198: UserWarning: Field name "schema" in "_ChoiceSetOutput" shadows an attribute in parent "_StrictModel"
2026-09-16 23:44:22.774 | WARNING  | trace= span= tp= req= job= ps=: | pydantic._internal._fields:collect_model_fields:198 - /Users/macbook-dev/Documents/GitHub/tldw_server2/.venv/lib/python3.11/site-packages/pydantic/_internal/_fields.py:198: UserWarning: Field name "schema" in "_SceneUpdateOutput" shadows an attribute in parent "_StrictModel"
2026-09-16 23:44:23.041 | WARNING  | trace= span= tp= req= job= ps=: | tldw_Server_API.app.api.v1.endpoints.admin:_mount_admin_webhook_routes:135 - Canonical admin webhook mode is off; historical webhook CRUD, test, delivery, and incident-notify routes are disabled. Explicitly select temporary compatibility or migration before use.
2026-09-16 23:44:23.799 | WARNING  | trace= span= tp= req= job= ps=: | tldw_Server_API.app.core.Metrics.telemetry:_create_metric_reader:719 - Prometheus metric exporter not available
2026-09-16 23:44:23.802 | WARNING  | trace= span= tp= req= job= ps=: | tldw_Server_API.app.services.startup_validation:run_startup_validations:31 - First-time setup is enabled. The setup API is local-only and blocks proxied requests. If running behind a reverse proxy, ensure /setup and /api/v1/setup are not publicly exposed, or set TLDW_SETUP_ALLOW_REMOTE=1 temporarily on trusted networks.
2026-09-16 23:44:24.337 | WARNING  | trace= span= tp= req= job= ps=: | tldw_Server_API.app.services.startup_resource_governor:_audit_route_map_coverage:227 - RG route_map missing coverage for 427 routes; sample: /api/v1/consent/preferences (tags=['consent', 'consent']), /api/v1/consent/preferences/{purpose} (tags=['consent', 'consent']), /api/v1/visual-identities/capabilities (tags=['visual-identities']), /api/v1/visual-identities/expression-slots (tags=['visual-identities']), /api/v1/visual-identities/packs (tags=['visual-identities']), /api/v1/visual-identities/packs/{pack_id} (tags=['visual-identities']), /api/v1/visual-identities/packs/{pack_id}/assets (tags=['visual-identities']), /api/v1/visual-identities/packs/{pack_id}/assets/from-generated-file (tags=['visual-identities']), /api/v1/visual-identities/packs/{pack_id}/assets/{asset_id}/content (tags=['visual-identities']), /api/v1/visual-identities/packs/{pack_id}/assets/{asset_id}/preview (tags=['visual-identities'])
2026-09-16 23:44:24.619 | WARNING  | trace= span= tp= req= job= ps=: | tldw_Server_API.app.core.config:_buffered_log:210 - TTS config file not found at /Users/macbook-dev/Documents/GitHub/tldw_server2/tldw_Server_API/app/core/TTS/tts_providers_config.yaml, using defaults
2026-09-16 23:44:24.619 | WARNING  | trace= span= tp= req= job= ps=: | tldw_Server_API.app.core.TTS.tts_config:_warn_legacy_tts_setting_keys:307 - [TTS-Settings] 'default_tts_provider' is deprecated; use 'default_provider'. Legacy aliases are scheduled for removal after 2026-06-30.
2026-09-16 23:44:24.619 | WARNING  | trace= span= tp= req= job= ps=: | tldw_Server_API.app.core.TTS.tts_config:_warn_legacy_tts_setting_keys:307 - [TTS-Settings] 'default_tts_voice' is deprecated; use 'default_voice'. Legacy aliases are scheduled for removal after 2026-06-30.
2026-09-16 23:44:24.619 | WARNING  | trace= span= tp= req= job= ps=: | tldw_Server_API.app.core.TTS.tts_config:_warn_legacy_tts_setting_keys:307 - [TTS-Settings] 'default_tts_speed' is deprecated; use 'default_speed'. Legacy aliases are scheduled for removal after 2026-06-30.
2026-09-16 23:44:24.619 | WARNING  | trace= span= tp= req= job= ps=: | tldw_Server_API.app.core.TTS.tts_config:_warn_legacy_tts_setting_keys:307 - [TTS-Settings] 'local_tts_device' is deprecated; use 'local_device'. Legacy aliases are scheduled for removal after 2026-06-30.
2026-09-16 23:44:24.622 | WARNING  | trace= span= tp= req= job= ps=: | tldw_Server_API.app.core.Metrics.metrics_manager:register_metric:1863 - Metric tts_ttfb_seconds already registered with incompatible definition: existing type=histogram, labels=['provider', 'voice', 'format']; candidate type=histogram, labels=['provider', 'voice', 'format']
2026-09-16 23:44:24.622 | WARNING  | trace= span= tp= req= job= ps=: | tldw_Server_API.app.core.Metrics.metrics_manager:register_metric:1863 - Metric voice_to_voice_seconds already registered with incompatible definition: existing type=histogram, labels=['provider', 'route']; candidate type=histogram, labels=['provider', 'route']
2026-09-16 23:44:24.747 | WARNING  | trace= span= tp= req= job= ps=: | tldw_Server_API.app.services.startup_context_integrity:produce_context_integrity_startup_warnings:444 - Context integrity startup finding: degraded_integrity manifest:none
2026-09-16 23:44:24.787 | WARNING  | trace= span= tp= req= job= ps=: | tldw_Server_API.app.services.startup_content_jobs_pollers:_build_standalone_html_generation_runtime:1520 - Standalone HTML generation remains closed; error_type=DigestKeyConfigError
2026-09-16 23:44:26.026 | WARNING  | trace= span= tp= req= job= ps=: | tldw_Server_API.app.core.DB_Management.UserDatabase_v2:_initialize_schema:204 - Schema file not available for postgresql backend, using embedded defaults
2026-09-16 23:45:24.914 | WARNING  | trace= span= tp= req= job= ps=: | tldw_Server_API.app.services.startup_content_jobs_pollers:_build_standalone_html_generation_runtime:1520 - Standalone HTML generation remains closed; error_type=DigestKeyConfigError
2026-09-16 23:45:55.643 | ERROR    | trace= span= tp= req= job= ps=: | tldw_Server_API.app.core.DB_Management.backends.postgresql_backend:execute:1089 - PostgreSQL query execution failed
2026-09-16 23:46:25.024 | WARNING  | trace= span= tp= req= job= ps=: | tldw_Server_API.app.services.startup_content_jobs_pollers:_build_standalone_html_generation_runtime:1520 - Standalone HTML generation remains closed; error_type=DigestKeyConfigError
